lambda_min	1.000000e+04
lambda_max	4.500000e+04
Warning:  Question (t) does not match word (lambda_min) in file. Continuing!
Warning:  Question (t) does not match word (lambda_max) in file. Continuing!
t	1.000000e+04
         0    0.00      inf
Boundary 0.000360
    371000    3.71   9.03e-07
    372000    3.72   9.02e-07
    373000    3.73   9.02e-07
    374000    3.74   9.02e-07
    375000    3.75   9.02e-07
    376000    3.76   9.01e-07
    377000    3.77   9.01e-07
    378000    3.78   9.01e-07
    379000    3.79   9.00e-07
    380000    3.80   9.00e-07
    381000    3.81   9.00e-07
    382000    3.82   9.00e-07
    383000    3.83   8.99e-07
    384000    3.84   8.99e-07
    385000    3.85   8.99e-07
    386000    3.86   8.99e-07
    387000    3.87   8.98e-07
    388000    3.88   8.98e-07
    389000    3.89   8.98e-07
    390000    3.90   8.98e-07
    391000    3.91   8.97e-07
    392000    3.92   8.97e-07
    393000    3.93   8.97e-07
    394000    3.94   8.97e-07
    395000    3.95   8.96e-07
    396000    3.96   8.96e-07
    397000    3.97   8.96e-07
    398000    3.98   8.96e-07
    399000    3.99   8.95e-07
    400000    4.00   8.95e-07
    401000    4.01   8.95e-07
    402000    4.02   8.95e-07
    403000    4.03   8.94e-07
    404000    4.04   8.94e-07
    405000    4.05   8.94e-07
    406000    4.06   8.94e-07
    407000    4.07   8.94e-07
    408000    4.08   8.93e-07
    409000    4.09   8.93e-07
    410000    4.10   8.93e-07
    411000    4.11   8.93e-07
    412000    4.12   8.92e-07
    413000    4.13   8.92e-07
    414000    4.14   8.92e-07
    415000    4.15   8.92e-07
    416000    4.16   8.91e-07
    417000    4.17   8.91e-07
    418000    4.18   8.91e-07
    419000    4.19   8.91e-07
    420000    4.20   8.91e-07
    421000    4.21   8.90e-07
    422000    4.22   8.90e-07
    423000    4.23   8.90e-07
    424000    4.24   8.90e-07
    425000    4.25   8.89e-07
    426000    4.26   8.89e-07
    427000    4.27   8.89e-07
    428000    4.28   8.89e-07
    429000    4.29   8.89e-07
    430000    4.30   8.88e-07
    431000    4.31   8.88e-07
    432000    4.32   8.88e-07
    433000    4.33   8.88e-07
    434000    4.34   8.88e-07
    435000    4.35   8.87e-07
    436000    4.36   8.87e-07
    437000    4.37   8.87e-07
    438000    4.38   8.87e-07
    439000    4.39   8.87e-07
    440000    4.40   8.86e-07
    441000    4.41   8.86e-07
    442000    4.42   8.86e-07
    443000    4.43   8.86e-07
    444000    4.44   8.86e-07
    445000    4.45   8.85e-07
    446000    4.46   8.85e-07
    447000    4.47   8.85e-07
    448000    4.48   8.85e-07
    449000    4.49   8.85e-07
    450000    4.50   8.85e-07
    451000    4.51   8.84e-07
    452000    4.52   8.84e-07
    453000    4.53   8.84e-07
    454000    4.54   8.84e-07
    455000    4.55   8.84e-07
    456000    4.56   8.83e-07
    457000    4.57   8.83e-07
    458000    4.58   8.83e-07
    459000    4.59   8.83e-07
    460000    4.60   8.83e-07
    461000    4.61   8.83e-07
    462000    4.62   8.83e-07
    463000    4.63   8.83e-07
    464000    4.64   8.83e-07
    465000    4.65   8.82e-07
    466000    4.66   8.82e-07
    467000    4.67   8.82e-07
    468000    4.68   8.82e-07
    469000    4.69   8.82e-07
    470000    4.70   8.82e-07
    471000    4.71   8.81e-07
    472000    4.72   8.81e-07
    473000    4.73   8.81e-07
    474000    4.74   8.81e-07
    475000    4.75   8.81e-07
    476000    4.76   8.81e-07
    477000    4.77   8.80e-07
    478000    4.78   8.80e-07
    479000    4.79   8.80e-07
    480000    4.80   8.80e-07
    481000    4.81   8.80e-07
    482000    4.82   8.79e-07
    483000    4.83   8.79e-07
    484000    4.84   8.79e-07
    485000    4.85   8.79e-07
    486000    4.86   8.79e-07
    487000    4.87   8.79e-07
    488000    4.88   8.79e-07
    489000    4.89   8.78e-07
    490000    4.90   8.78e-07
    491000    4.91   8.78e-07
    492000    4.92   8.78e-07
    493000    4.93   8.78e-07
    494000    4.94   8.78e-07
    495000    4.95   8.77e-07
    496000    4.96   8.77e-07
    497000    4.97   8.77e-07
    498000    4.98   8.77e-07
    499000    4.99   8.77e-07
    500000    5.00   8.77e-07
    501000    5.01   8.76e-07
    502000    5.02   8.76e-07
    503000    5.03   8.76e-07
    504000    5.04   8.76e-07
    505000    5.05   8.76e-07
    506000    5.06   8.76e-07
    507000    5.07   8.75e-07
    508000    5.08   8.75e-07
    509000    5.09   8.75e-07
    510000    5.10   8.75e-07
    511000    5.11   8.75e-07
    512000    5.12   8.75e-07
    513000    5.13   8.75e-07
    514000    5.14   8.75e-07
    515000    5.15   8.74e-07
    516000    5.16   8.74e-07
    517000    5.17   8.74e-07
    518000    5.18   8.74e-07
    519000    5.19   8.74e-07
    520000    5.20   8.74e-07
    521000    5.21   8.74e-07
    522000    5.22   8.73e-07
    523000    5.23   8.73e-07
    524000    5.24   8.73e-07
    525000    5.25   8.73e-07
    526000    5.26   8.73e-07
    527000    5.27   8.73e-07
    528000    5.28   8.73e-07
    529000    5.29   8.72e-07
    530000    5.30   8.72e-07
    531000    5.31   8.72e-07
    532000    5.32   8.72e-07
    533000    5.33   8.72e-07
    534000    5.34   8.72e-07
    535000    5.35   8.72e-07
    536000    5.36   8.71e-07
    537000    5.37   8.71e-07
    538000    5.38   8.71e-07
    539000    5.39   8.71e-07
    540000    5.40   8.71e-07
    541000    5.41   8.71e-07
    542000    5.42   8.71e-07
    543000    5.43   8.71e-07
    544000    5.44   8.70e-07
    545000    5.45   8.70e-07
    546000    5.46   8.70e-07
    547000    5.47   8.70e-07
    548000    5.48   8.70e-07
    549000    5.49   8.70e-07
    550000    5.50   8.70e-07
    551000    5.51   8.69e-07
